source_path,filename,filetype,pm_relevance,size_bytes,modified_date,proposed_action,rationale,target_repo_path,priority,dependencies,notes
"Tem-WP1369-DefectTrackingMatrix-v02 - PHM.xlsx","Tem-WP1369-DefectTrackingMatrix-v02 - PHM.xlsx","Excel Spreadsheet","High","77867","May 10 10:01:31 2013","rework-and-include","PM template/tool - needs format conversion and sanitization","templates/universal/risk-management/","High","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"SustainableEVMv2a.vsd","SustainableEVMv2a.vsd","Visio Diagram","Review","982528","May 10 09:21:02 2013","rework-and-include","Earned Value Management content - valuable for traditional PM","templates/traditional/earned-value/","Medium","Diagram conversion or recreation","Very old file - significant updates likely needed"
"SustainableEVMv2a.pdf","SustainableEVMv2a.pdf","PDF Document","Review","325902","May 10 09:20:54 2013","rework-and-include","Earned Value Management content - valuable for traditional PM","templates/traditional/earned-value/","Medium","Content extraction; Format conversion","Very old file - significant updates likely needed"
"SI Project Estimator Prototype  User Guide V2.pptx","SI Project Estimator Prototype  User Guide V2.pptx","PowerPoint Presentation","High","2020880","May 10 10:27:02 2013","rework-and-include","PM guide/toolkit - extract reusable templates and processes","docs/guides/","High","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"SI BTA School - Use Case Intro KX.pptx","SI BTA School - Use Case Intro KX.pptx","PowerPoint Presentation","Review","154002","May 10 10:23:24 2013","manual-review","Requires manual inspection to determine PM value and integration approach","TBD","Low","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"SEVM_Overview_102908.pptx","SEVM_Overview_102908.pptx","PowerPoint Presentation","Review","1098982","May 10 09:21:09 2013","rework-and-include","Earned Value Management content - valuable for traditional PM","templates/traditional/earned-value/","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"SCO Customer and Vendor Management Deliverable Process Customer Complaints and Feedback.pptx","SCO Customer and Vendor Management Deliverable Process Customer Complaints and Feedback.pptx","PowerPoint Presentation","High","136226","May 10 10:02:20 2013","rework-and-include","High PM relevance - detailed review needed for best integration approach","templates/universal/project-management/","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"running_lean_7.pdf","running_lean_7.pdf","PDF Document","Low","6293056","Feb 22 15:22:42 2012","exclude","Large presentation/document - likely contains specific content not suitable for templates","","Medium","Content extraction; Format conversion","Very old file - significant updates likely needed"
"webMethods Cookbook.pdf","webMethods Cookbook.pdf","PDF Document","Low","1227231","May 10 12:17:17 2013","exclude","Industry/technology-specific content not suitable for generic PM templates","","Medium","Content extraction; Format conversion","Very old file - significant updates likely needed"
"value analysis bus_case_exl_c.xls","value analysis bus_case_exl_c.xls","Excel Spreadsheet","Medium","1380864","May 10 09:21:58 2013","rework-and-include","Potentially useful content - significant adaptation required","templates/universal/specialized/","Low","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"Release 1 Work Effort Estimation.xlsx","Release 1 Work Effort Estimation.xlsx","Excel Spreadsheet","High","73854","May 10 12:30:46 2013","rework-and-include","High PM relevance - detailed review needed for best integration approach","templates/universal/project-management/","Medium","Format conversion; Metadata sanitization","Very old file - significant updates likely needed"
"REEVM.vsd","REEVM.vsd","Visio Diagram","Review","355840","May 10 12:31:11 2013","rework-and-include","Earned Value Management content - valuable for traditional PM","templates/traditional/earned-value/","Medium","Diagram conversion or recreation","Very old file - significant updates likely needed"
